event_id,symbol,spot_symbol,ex_date,notional_usd,gross_dividend,net_dividend,net_low,net_high,net_verified,basis,basis_tier,price,buy_price,price_label,fee_rate,fee_label,drop_ratio,drop_se,drop_label,cost_per_share,exit_edge_lower,exit_edge_point,exit_edge_lower_net_low,exit_edge_lower_net_high,exit_edge_lower_zero_net,buy_edge_point,verdict,buy,reason,sell_book_ts,sell_book_source,buy_book_ts,buy_book_source
rSATA-2026-09-24-1,rSATA,RSATAUSDT,2026-09-24,1000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",0.21000100012501552,-0.20151496726388546,-0.1889458903120711,-0.20151496726388546,-0.21699496726388548,-0.16539496726388547,-0.23105610993795994,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rSATA-2026-09-24-1,rSATA,RSATAUSDT,2026-09-24,5000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"buy: $5,000 exceeds visible top-of-book ($1,000) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rSATA-2026-09-24-1,rSATA,RSATAUSDT,2026-09-24,25000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,"sell: $25,000 exceeds visible top-of-book ($19,996) on ticker-only symbol; buy: $25,000 exceeds visible top-of-book ($1,000) on ticker-only symbol",2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
rSTX-2026-09-24-1,rSTX,RSTXUSDT,2026-09-24,1000,0.74,0.518,0.518,0.74,False,GROSS,2.0,796.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",4.981527451151246,-4.859828530274575,-4.67957432592685,-4.859828530274575,-5.081828530274574,-4.341828530274575,-5.283480576375642,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rSTX-2026-09-24-1,rSTX,RSTXUSDT,2026-09-24,5000,0.74,0.518,0.518,0.74,False,GROSS,2.0,796.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",5.033054709920341,-4.91135578904367,-4.731101584695945,-4.91135578904367,-5.133355789043669,-4.39335578904367,-5.335007835144737,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rSTX-2026-09-24-1,rSTX,RSTXUSDT,2026-09-24,25000,0.74,0.518,0.518,0.74,False,GROSS,2.0,796.3,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",6.142247534559532,-6.020548613682861,-5.840294409335136,-6.020548613682861,-6.24254861368286,-5.502548613682861,-6.444200659783928,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,public_book,2026-09-17T04:27:30.024688+00:00,public_book
rMDT-2026-09-25-1,rMDT,RMDTUSDT,2026-09-25,1000,,,,,False,UNRESOLVED,,92.52,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,cash basis UNRESOLVED; gross basis required,,,,
rMDT-2026-09-25-1,rMDT,RMDTUSDT,2026-09-25,5000,,,,,False,UNRESOLVED,,92.52,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,cash basis UNRESOLVED; gross basis required,,,,
rMDT-2026-09-25-1,rMDT,RMDTUSDT,2026-09-25,25000,,,,,False,UNRESOLVED,,92.52,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",,,,,,,,NO_SIGNAL,SUPPRESSED: eligibility snapshot time unpublished,cash basis UNRESOLVED; gross basis required,,,,
rSATA-2026-09-25-1,rSATA,RSATAUSDT,2026-09-25,1000,0.0516,0.03612,0.03612,0.0516,False,GROSS,2.0,100.0,,OBSERVED ticker lastPrice at run time,0.001,OBSERVED live symbol takerFeeRate,1.1080447638167523,0.12179338131603072,"ESTIMATED M1 floor_None overnight_2000 slope, n=58",0.21000100012501552,-0.20151496726388546,-0.1889458903120711,-0.20151496726388546,-0.21699496726388548,-0.16539496726388547,-0.23105610993795994,HOLD,SUPPRESSED: eligibility snapshot time unpublished,,2026-09-16T23:27:40.187038+00:00,ticker_only,2026-09-17T04:27:30.024688+00:00,ticker_only
