event_id,symbol,underlying,ex_date,decision_ts,ledger_gross_dividend,ledger_announcement_date,api_announcement_date,api_gross_dividend,audit_status,primary_review_status,source_fetched_at,predecision_publication_verified,primary_source_url,primary_source_published_date,primary_declared_amount
rPM-2026-06-25-1,rPM,PM,2026-06-25,2026-06-24T23:59:00+00:00,1.47,2026-06-11,2026-06-11,1.4700000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://www.pmi.com/media-center/press-releases/press-details?newsId=30181,2026-06-11,1.47
rFLQL-2026-06-26-1,rFLQL,FLQL,2026-06-26,2026-06-25T23:20:00+00:00,0.2235,2026-06-25,2026-06-25,0.2235000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rMDT-2026-06-26-1,rMDT,MDT,2026-06-26,2026-06-25T23:59:00+00:00,0.72,2026-06-03,2026-06-03,0.7200000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://news.medtronic.com/2026-06-03-Medtronic-reports-fourth-quarter-and-full-year-fiscal-2026-results-delivers-highest-annual-revenue-growth-in-10-years,2026-06-03,0.72
rVOO-2026-06-26-1,rVOO,VOO,2026-06-26,2026-06-25T23:59:00+00:00,1.9622,2026-06-24,2026-06-24,1.9622000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rVTV-2026-06-26-1,rVTV,VTV,2026-06-26,2026-06-25T23:57:00+00:00,1.0818,2026-06-24,2026-06-24,1.0818000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBOTZ-2026-06-29-1,rBOTZ,BOTZ,2026-06-29,2026-06-26T23:54:00+00:00,0.017986,2026-06-26,2026-06-26,0.0179860000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCOPX-2026-06-29-1,rCOPX,COPX,2026-06-29,2026-06-26T23:58:00+00:00,0.257976,2026-06-26,2026-06-26,0.2579760000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rLIT-2026-06-29-1,rLIT,LIT,2026-06-29,2026-06-26T23:58:00+00:00,0.324862,2026-06-26,2026-06-26,0.3248620000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rPAVE-2026-06-29-1,rPAVE,PAVE,2026-06-29,2026-06-26T23:58:00+00:00,0.1027,2026-06-26,2026-06-26,0.1027000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rDIS-2026-06-30-1,rDIS,DIS,2026-06-30,2026-06-29T23:59:00+00:00,0.75,2025-11-13,2025-11-13,0.7500000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://thewaltdisneycompany.com/press-releases/the-walt-disney-company-reports-fourth-quarter-and-full-year-earnings-for-fiscal-2025/,2025-11-13,0.75
rHIMX-2026-06-30-1,rHIMX,HIMX,2026-06-30,2026-06-29T23:58:00+00:00,0.242,2026-05-07,2026-05-07,0.2420000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rMPWR-2026-06-30-1,rMPWR,MPWR,2026-06-30,2026-06-29T23:59:00+00:00,2.0,2026-06-12,2026-06-12,2.0000000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://www.monolithicpower.com/media/investor-relations/filings/Q2_2026_Dividend_and_Annual_Shareholder_Voting_Results_8-K.pdf,2026-06-12,2.00
rPCG-2026-06-30-1,rPCG,PCG,2026-06-30,2026-06-29T23:51:00+00:00,0.05,2026-05-21,2026-05-21,0.0500000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSTRC-2026-06-30-1,rSTRC,STRC,2026-06-30,2026-06-29T23:59:00+00:00,0.47916667,2026-06-14,2026-06-14,0.4791666700000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITI-2026-07-01-1,rBITI,BITI,2026-07-01,2026-06-30T23:59:00+00:00,1.448766,2026-06-30,2026-06-30,1.4487660000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITO-2026-07-01-1,rBITO,BITO,2026-07-01,2026-06-30T23:59:00+00:00,0.010375,2026-06-30,2026-06-30,0.0103750000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCLOI-2026-07-01-1,rCLOI,CLOI,2026-07-01,2026-06-30T20:10:00+00:00,0.2051,2026-06-30,2026-06-30,0.2051000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCMCSA-2026-07-01-1,rCMCSA,CMCSA,2026-07-01,2026-06-30T23:59:00+00:00,0.33,2026-05-13,2026-05-13,0.3300000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://cmcsa.gcs-web.com/stock-performance/dividends-and-stock-splits,2026-05-13,0.33
rHEI-2026-07-01-1,rHEI,HEI,2026-07-01,2026-06-30T22:50:00+00:00,0.13,2026-06-12,2026-06-12,0.1300000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rHYS-2026-07-01-1,rHYS,HYS,2026-07-01,2026-06-30T20:10:00+00:00,0.57,2026-06-30,2026-06-30,0.5700000000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rPWR-2026-07-01-1,rPWR,PWR,2026-07-01,2026-06-30T23:58:00+00:00,0.11,2026-05-21,2026-05-21,0.1100000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.quantaservices.com/news-events/press-releases/detail/399/quanta-services-announces-quarterly-cash-dividend-and-new-1-billion-stock-repurchase-program,2026-05-22,0.11
rSGOV-2026-07-01-1,rSGOV,SGOV,2026-07-01,2026-06-30T23:59:00+00:00,0.295765,2026-06-30,2026-06-30,0.2957650000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rTLT-2026-07-01-1,rTLT,TLT,2026-07-01,2026-06-30T23:59:00+00:00,0.31803,2026-06-30,2026-06-30,0.3180300000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rCSCO-2026-07-06-1,rCSCO,CSCO,2026-07-06,2026-07-02T23:59:00+00:00,0.42,2026-05-13,2026-05-13,0.4200000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investor.cisco.com/news/news-details/2026/CISCO-REPORTS-THIRD-QUARTER-EARNINGS/default.aspx,2026-05-13,0.42
rMU-2026-07-06-1,rMU,MU,2026-07-06,2026-07-02T23:59:00+00:00,0.15,2026-06-24,2026-06-24,0.1500000000000000,PRE_DECISION_DATE_CANDIDATE,MATCHED_PRE_DECISION_PRIMARY,2026-09-23T05:32:01.246187+00:00,YES,https://investors.micron.com/static-files/f2205e01-6759-4427-8ab1-d70647c3f78f,2026-06-24,0.15
rOPRA-2026-07-07-1,rOPRA,OPRA,2026-07-07,2026-07-06T23:55:00+00:00,0.39,2026-06-11,2026-06-11,0.3900000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rINTU-2026-07-09-1,rINTU,INTU,2026-07-09,2026-07-08T23:59:00+00:00,1.2,2026-05-19,2026-05-19,1.2000000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSATA-2026-07-09-1,rSATA,SATA,2026-07-09,2026-07-08T23:58:00+00:00,0.0493,2026-06-13,2026-06-13,0.0493000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSATA-2026-07-10-1,rSATA,SATA,2026-07-10,2026-07-09T23:58:00+00:00,0.0493,2026-06-13,2026-06-13,0.0493000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSATA-2026-07-13-1,rSATA,SATA,2026-07-13,2026-07-10T23:28:00+00:00,0.0493,2026-06-13,2026-06-13,0.0493000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSATA-2026-07-14-1,rSATA,SATA,2026-07-14,2026-07-13T23:57:00+00:00,0.0493,2026-06-13,2026-06-13,0.0493000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rSATA-2026-07-21-1,rSATA,SATA,2026-07-21,2026-07-20T23:57:00+00:00,0.0493,2026-06-13,2026-06-13,0.0493000000000000,PRE_DECISION_DATE_CANDIDATE,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITI-2026-08-03-1,rBITI,BITI,2026-08-03,2026-07-31T23:59:00+00:00,1.32930505,2026-07-31,2026-07-31,1.3293050500000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
rBITO-2026-08-03-1,rBITO,BITO,2026-08-03,2026-07-31T23:58:00+00:00,0.013749,2026-07-31,2026-07-31,0.0137490000000000,SAME_DAY_TIME_UNKNOWN,NOT_REVIEWED,2026-09-23T05:32:01.246187+00:00,NO,,,
